name,mean,importance
ps_reg_03,123.0,"[165, 101, 115, 106, 128]"
ps_car_13,88.0,"[113, 74, 80, 83, 90]"
hcc_ps_car_01_cat,87.6,"[109, 67, 75, 83, 104]"
hcc_ps_car_11_cat,86.6,"[109, 70, 71, 87, 96]"
ps_car_14,83.8,"[112, 48, 77, 83, 99]"
ps_ind_03,78.4,"[89, 81, 68, 80, 74]"
hcc_ps_car_06_cat,78.2,"[102, 62, 69, 88, 70]"
hcc_comb_1,71.0,"[86, 35, 76, 68, 90]"
hcc_ps_car_04_cat,70.4,"[91, 55, 64, 65, 77]"
hcc_comb_0,69.6,"[77, 72, 65, 60, 74]"
ps_ind_01,56.2,"[69, 44, 58, 63, 47]"
ps_car_11_cat,52.0,"[62, 38, 45, 63, 52]"
ps_ind_15,46.8,"[57, 44, 44, 41, 48]"
ps_reg_02,41.4,"[55, 37, 33, 43, 39]"
ps_car_15,38.2,"[53, 38, 34, 33, 33]"
ps_ind_05_cat_orig,33.4,"[32, 30, 34, 32, 39]"
ps_car_06_cat,26.8,"[32, 22, 23, 24, 33]"
ps_calc_09,23.4,"[33, 19, 18, 22, 25]"
comb_1,22.8,"[29, 24, 18, 19, 24]"
ps_car_12,22.6,"[31, 14, 22, 20, 26]"
ps_calc_05,22.0,"[32, 15, 18, 20, 25]"
ps_car_09_cat_orig,19.2,"[22, 16, 22, 19, 17]"
ps_car_01_cat,18.2,"[21, 27, 9, 14, 20]"
ps_ind_02_cat_orig,17.4,"[22, 13, 15, 17, 20]"
ps_car_05_cat_orig,17.4,"[25, 17, 12, 11, 22]"
ps_car_03_cat_orig,17.0,"[18, 17, 17, 12, 21]"
ps_car_11,16.8,"[23, 14, 13, 17, 17]"
ps_car_07_cat_orig,16.0,"[18, 15, 14, 15, 18]"
ps_ind_04_cat_orig,15.4,"[18, 14, 16, 12, 17]"
ps_ind_17_bin,15.0,"[16, 11, 18, 19, 11]"
ps_ind_09_bin,11.0,"[12, 14, 13, 9, 7]"
ps_ind_07_bin,10.4,"[8, 7, 11, 12, 14]"
comb_0,7.8,"[12, 12, 3, 4, 8]"
"ps_car_09_cat_1,0",7.8,"[14, 5, 6, 7, 7]"
ps_ind_08_bin,7.4,"[9, 5, 8, 8, 7]"
ps_ind_16_bin,7.4,"[8, 7, 6, 6, 10]"
ps_ind_06_bin,7.2,"[8, 8, 3, 6, 11]"
"ps_ind_02_cat_2,0",7.0,"[7, 8, 6, 7, 7]"
"ps_ind_05_cat_2,0",6.6,"[7, 5, 7, 7, 7]"
ps_reg_01,5.4,"[7, 5, 3, 8, 4]"
ps_ind_18_bin,5.4,"[5, 3, 10, 5, 4]"
ps_car_08_cat_orig,5.0,"[5, 6, 3, 5, 6]"
"ps_ind_05_cat_3,0",4.6,"[5, 5, 4, 5, 4]"
ps_car_04_cat,3.0,"[4, 3, 3, 0, 5]"
"ps_ind_02_cat_3,0",2.8,"[1, 1, 6, 4, 2]"
"ps_car_09_cat_2,0",1.6,"[1, 1, 3, 2, 1]"
"ps_ind_05_cat_4,0",0.6,"[2, 0, 0, 0, 1]"
"ps_car_09_cat_3,0",0.2,"[0, 0, 0, 0, 1]"
ps_car_02_cat_orig,0.2,"[0, 0, 0, 1, 0]"
